Mucho,"Si, el separar los desechos. ",Separar desechos. Economizar el agua,No. Porque no lo promueven.,Muy util porque concientizaría a la población
Demasiado,"No, a la gente le vale lo que pasa en el estado y en todo el mundo ","Rehusar agua, tirar la basura donde tiene que ir, cerrar los grifos, etc","No, hay algunas autoridades que si hacen bien su trabajo, hay otras que les vale ","Muy útil, para que la gente sin cultura vaya viendo lo que le está pasando al mundo "
Muy preocupado cada vez queretaro es un lugar desértico ,No,Aplicando el reciclaje y cuidar el agua ,No no hacen algún  cambio ,Muy importante para futuras generaciones y esta actual 
Mucho,"No, creo que hay mas mercadotecnia que busqueda de soluciones","Prendas de segunda mano, bici como medio de transporte, compras responsables de equipos elextronicos","No, sus politicas estan orientadas en una falsa idea de desarrollo","Si tiene un marketing chido, mucho"
Ya existe un gran problema ambiental y no existen programas para esto,Cómo que hay muy poca empatía ,Separación de basuras ,No. Al contrario el gobierno está acabando con nuestra fauna,Estaría muy bien porque ahorita todo es por plataforma 
Bastante ,"No, pienso que es una falta de empatía y conocimiento de lo grande que es el problema ","Reciclar agua de lavado, y usar calentador solar ","No, suele haber intereses de por medio y esto impide el cuidado del medio ambiente ",Bastante siempre y cuando sea de una manera facil e intuitiva de usar ya que me ayudaría a conocer que posturas y acciones debo tomar para mejorar y cuidar el medio ambiente 
Precupada,No porque no tenemos una cultura de yuda hacia los demas,No echo nada,No  porque siempre se ve mucha basura tirada ,Si sirmpre y cuando sea como una platarma que sea de prioridad  sino de lo contrario nadien la tomara en cuenta 
Preocupado ,No cv omo debería de ser porq falta organización para poder hacerlo,No he implementado nada ,No porq se ve mucho basura en las calles y el campo ,Mientras no se haga obligatoria tenerla no sería posible 
Preocupado por la escaces de agua y de lluvias,No se toman medidas sostenibles donde radico y es muy molesto,ahorro en consumo de agua y de electricidad.,No estan haciendo nada para proteger el medio ambiente,Creo que es bastante necesario
Preocupado,"No, pienso que les falta compromiso y responsabilidad con el medio ambiente ",Separar la basura,"Si, porque proveen los medios necesarios ","Si, pero con mayor difusión "
"Bastante preocupado, me da miedo que empiece a escacear el agua y haya días que no tengamos ni para limpiar la casa.","Al contrario, la mayoría es un tema que no le presta la mínima atención.","Utilizo lo menos que puedo el automovil. Y reciclo el agua del lavabo, llena la caja del retrete. Y tengo dos arbolitos que plante hace un par de años.","No creo que hagan lo suficiente, porque hay empresas que el consumo de recursos naturales es mayor que lo que aportan para resolver el problema. Estan más enfocados en generar dinero.","No conozco las iniciativas del proyecto aun. Pero si creo que cualquier proyecto con intención de generar un cambio positivo, es bueno para Qro."
Un poco preocupado,"No, no creo que la comunidad haga mucho al respecto, me preocupa porque creo que la mayoría de problemas de sostenibilidad se dan por culpa de las industrias, que son las que más exigen de recursos para la producción, además de que se les exige a estas industrias más la calidad de sus productos que su sostenibilidad.",Reducir el consumismo.,"Si, suelen hacer algo al respecto, pero creo que no es lo suficiente, creo que solo hacen lo necesariamente necesario para que no haya discusión de que no se hace nada.","Si, es muy posible, más si dentro de este movimiento se genera algún tipo de beneficio individual, ya que de lo contrarío es posible que no genere mucho interés."
mucho,no,no tirar bausta,"no, por las empresas que desperdician ",sí 
Bastante,"No, opino que deberíamos ser más conscientes respecto a estos temas y no hacer caso omiso",De momento ninguna por desconocimiento del tema,"No, no hay programas que inviten a promover la sostenibilidad y protección del medio ambiente","Si, siempre y cuando se logre estructurar de una buena manera y cuente con el apoyo necesario por parte de las autoridades responsables de estos temas"
Algo preocupada ,"No creo que lo hagan. Me gustaría que el gobierno y la instituciones educativas, tomaran parte en información de nuevas rutinas sustentables ","Reciclar el plástico y el vidrio, hacer composta, apartar el agua de la lavadora para lavar los pisos.","No. Porque si fuera así, habría más leyes de protección al ambiente y las instituciones se encargarían de que se cumplieran al pie de la letra. ",Claro que sí! Las instituciones tienen el conocimiento y los medios para lograr un impacto mayor en la educación de este tema. 
Alta,No creo ,Reciclaje,"No, ",Si 
Muy preocupado ,"No, se desconoce del tema o de soluciones a esto ",Reduci el uso de plasticos y trator de usar cosas reutilizables ,"No, no hay suficiente empeño por parte de las autoridades ",Dependeria de como se lleve a cabo este proyecto 
"Estoy muy preocupado/a por los problemas ambientales en Querétaro, especialmente la deforestación y la contaminación del aire y del agua.
","Creo que hay un aumento en la conciencia ambiental en Querétaro, pero aún falta mucho por hacer.
","He reducido mi consumo de plásticos desechables y opto por productos reutilizables.
",Creo que las autoridades y empresas podrían hacer más para promover la sostenibilidad en Querétaro.,"Sí, un proyecto como ""Hablemos Verde"" podría tener un impacto significativo en la concientización ambiental en la comunidad.
"
"La falta de sostenibilidad en nuestra comunidad es una preocupación seria para mí, ya que afecta la calidad de vida de todos.
","Algunas personas están tomando medidas para adoptar prácticas más sostenibles, como el reciclaje y el uso de energías renovables.","Uso el transporte público o bicicleta en lugar de conducir un automóvil para reducir mi huella de carbono.
",Se necesitan políticas más sólidas y programas de incentivos para fomentar prácticas sostenibles.,La educación y la sensibilización son fundamentales para motivar a las personas a adoptar estilos de vida más ecológicos.
"Me preocupa el impacto de la urbanización descontrolada en Querétaro y su efecto en los recursos naturales.
","Sin embargo, la mayoría de las personas aún no están completamente comprometidas con la sostenibilidad en su vida diaria.
","Reciclo regularmente y separo adecuadamente los residuos en mi hogar.
",Las empresas deberían ser más transparentes en sus prácticas ambientales y responsables socialmente.,"""Hablemos Verde"" podría proporcionar información y recursos para ayudar a las personas a hacer cambios positivos en sus hábitos."
La escasez de agua y los problemas de gestión de residuos también me inquietan mucho.,Opino que se necesitan más programas educativos y de concientización para motivar a más personas a adoptar prácticas sostenibles.,Consumo alimentos locales y orgánicos siempre que sea posible para apoyar la agricultura sostenible.,Las autoridades pueden implementar regulaciones más estrictas para reducir la contaminación y proteger los recursos naturales.,La colaboración con expertos y organizaciones ambientales puede fortalecer la efectividad del proyecto.
"Las emisiones de gases de efecto invernadero y el cambio climático son temas que me mantienen preocupado/a constantemente.
","La falta de infraestructura y opciones sostenibles asequibles también puede limitar la adopción de prácticas más ecológicas.
",Reduzco mi consumo de agua y electricidad mediante prácticas de conservación.,Se necesitan más inversiones en energías renovables y tecnologías limpias por parte de las empresas y el gobierno.,"Es importante que ""Hablemos Verde"" sea inclusivo y accesible para llegar a diferentes segmentos de la población."
"La pérdida de biodiversidad en la región es otro aspecto que me preocupa profundamente.
","Es alentador ver que algunas empresas y organizaciones están liderando iniciativas sostenibles en la comunidad.
","Compro productos de segunda mano y apoyo el intercambio y reutilización de objetos.
",La educación ambiental debe ser una prioridad en las escuelas y en la sociedad en general.,"Las campañas de ""Hablemos Verde"" podrían inspirar a las empresas a adoptar prácticas más sostenibles.
"
"Las prácticas agrícolas y ganaderas poco sostenibles también contribuyen a los problemas ambientales en Querétaro.
","Las prácticas agrícolas y ganaderas poco sostenibles también contribuyen a los problemas ambientales en Querétaro.
","Evito el desperdicio de alimentos y practico una alimentación más consciente.
",Las autoridades pueden colaborar más estrechamente con organizaciones ambientales y la sociedad civil para promover la sostenibilidad.,"La participación de líderes comunitarios y figuras públicas puede darle visibilidad y credibilidad al proyecto.
"
El uso excesivo de plásticos y la falta de educación sobre el reciclaje son preocupaciones adicionales.,La participación activa de la sociedad civil y las ONGs es fundamental para promover la sostenibilidad a nivel comunitario.,Participéen campañas de reforestación y limpieza de áreas naturales en mi comunidad.,Las empresas pueden desarrollar productos y servicios más sostenibles y ecoamigables.,"""Hablemos Verde"" podría organizar eventos y actividades que promuevan la sostenibilidad y el cuidado del medio ambiente."
La contaminación del suelo debido a la actividad industrial es un tema que no se puede pasar por alto.,Creo que se necesita un cambio cultural y de mentalidad para que la mayoría de las personas adopten prácticas más sostenibles.,Apoyo a empresas y marcas que tienen políticas ambientales responsables.,Es importante que las autoridades y empresas asuman la responsabilidad de sus acciones y contribuyan positivamente al medio ambiente.,"La difusión de historias de éxito y ejemplos de cambios positivos puede motivar a otros a seguir el ejemplo.
"
La falta de conciencia ambiental en general en la sociedad es una de mis mayores preocupaciones.,"En general, hay un progreso, pero aún queda un largo camino por recorrer en términos de sostenibilidad en Querétaro.",Me educo constantemente sobre temas ambientales y comparto información con amigos y familiares para inspirar cambios positivos.,La creación de alianzas público-privadas puede ser clave para impulsar iniciativas sostenibles a nivel local.,"En resumen, un proyecto como ""Hablemos Verde"" tiene el potencial de generar un impacto positivo y duradero en la comunidad hacia la sostenibilidad."
"La deforestación y la pérdida de hábitats naturales son preocupaciones urgentes en Querétaro que requieren acciones inmediatas.
","Observo que cada vez más personas están optando por energías renovables para sus hogares, lo cual es alentador.
","He reducido mi consumo de carne y opto por una dieta más basada en plantas para reducir mi huella de carbono.
",Las autoridades podrían ofrecer más incentivos fiscales y subsidios para empresas que adopten prácticas sostenibles.,"""Hablemos Verde"" podría colaborar con instituciones educativas para incorporar la educación ambiental en los planes de estudio."
La contaminación del suelo y el agua debido a actividades industriales y agrícolas no sostenibles es una preocupación creciente.,"La falta de información y educación sobre prácticas sostenibles puede ser un obstáculo para una adopción generalizada.
","Participé en programas de reforestación y restauración de ecosistemas locales en Querétaro.
",Se necesita una mayor transparencia y divulgación de datos sobre el impacto ambiental de las empresas en Querétaro.,"La colaboración con influencers y figuras públicas locales puede aumentar la visibilidad y el impacto del proyecto.
"
"Me preocupa el impacto del turismo no regulado en áreas naturales protegidas y su biodiversidad en Querétaro.
","Creo que el apoyo gubernamental y la inversión en infraestructuras sostenibles pueden impulsar un cambio más rápido.
","Apoyo a negocios locales que tienen prácticas sostenibles y éticas en sus operaciones.
",Las autoridades pueden mejorar la infraestructura verde y promover el transporte público para reducir las emisiones.,"Se podría organizar ferias y eventos comunitarios para promover productos y servicios sostenibles.
"
"La falta de políticas ambientales sólidas y la falta de aplicación de regulaciones ambientales son desafíos significativos.
","Las iniciativas locales y comunitarias juegan un papel importante en motivar a las personas a ser más sostenibles en su vida diaria.
","He implementado prácticas de compostaje y reducción de residuos orgánicos en mi hogar.
",Las empresas podrían invertir más en tecnologías limpias y procesos de producción más sostenibles para reducir su impacto ambiental.,"""Hablemos Verde"" podría crear alianzas estratégicas con empresas y organizaciones para ofrecer descuentos en productos y servicios sostenibles.
"
Los problemas ambientales han crecido últimamente exponencialmente hablando y siento yo que la gran mayoría de ellos son por falta de concientización del gobierno entonces Creo yo que una buena forma es apoyando este tipo de proyectos de sostenibilidad en Querétaro y luego en México,No lo creo ya que siento que por lo mismo de la falta de concientización pues no están adoptando estas prácticas sostenibles y opino que deberían de educarse de fomentar todo tipo de proyectos en cuestión de sostenibilidad de Ecología y todo eso,Casi ninguna de hecho siento yo que es es frustrante porque no tengo esa educación como ya lo dije para adoptar un estilo de vida más ecológico y siento yo que tipos de páginas accesibles con buenos recursos con educación rápida y sencilla puede cambiar y hacer mucho la diferencia y más que nada simplemente en fraccionamiento simplemente en todo tipo de lugares la adopción estas prácticas sería otro nivel,Ya que las empresas son las que más contaminan incluso los cryptonos contaminamos demasiado y siento yo que sí nos ponemos todos manos a la hora podamos hacer de Querétaro Algo súper maravillosoNo tanto y de hecho me frustra demasiado ya que Querétaro es un lugar súper bonito que debería tener más conciencia sobre estos temas ambientales y verdes,Podría ser si simplemente de la manera correcta y siento que es bastante interesante ver este proyecto estoy feliz de que la gente queretana y los estudiantes que tienen días increíbles hagan ese tipo de cosas
"Los problemas ambientales en Queretaro me preocupan bastante. Creo que la falta de conciencia, especialmente por parte del gobierno, ha contribuido a un aumento preocupante de estos problemas.",No veo que la mayoria este adoptando practicas sostenibles en mi comunidad. Es evidente que se necesita mas educacion y concienciacion sobre este tema para lograr un cambio significativo.,"Desafortunadamente, no he implementado muchas acciones en mi vida diaria para reducir mi impacto ambiental. Reconozco que esto es una debilidad personal y estoy buscando recursos accesibles para mejorar en este aspecto.",Siento que hay un gran vacio en los esfuerzos por promover la sostenibilidad por parte de las autoridades y las empresas en Queretaro. Es decepcionante ver la falta de compromiso en un lugar con tanto potencial para ser mas ecologico.,"Creo firmemente que si. Proyectos como ""Hablemos Verde"" pueden ser catalizadores poderosos para el cambio en la comunidad. Estoy emocionado de ver como iniciativas como esta pueden inspirar a las personas a adoptar practicas mas ecologicas."
"Me preocupa bastante la situacin ambiental en Quertaro, especialmente la falta de medidas para abordarla. Es crucial que se tomen acciones concretas para proteger nuestro entorno.","Desafortunadamente, veo que la mayora de las personas en mi comunidad no estn tomando medidas significativas para adoptar prcticas sostenibles. Creo que falta conciencia y compromiso en este aspecto.","En mi vida diaria, he implementado pequeos cambios, como reducir mi consumo de plstico y reciclar ms. Sin embargo, s que an hay mucho ms que podra hacer para reducir mi impacto ambiental.",No creo que las autoridades y empresas estn haciendo lo suficiente para promover la sostenibilidad en Quertaro. Hay una clara falta de compromiso y acciones concretas en este sentido.,"Tengo mis dudas sobre si un proyecto como ""Hablemos Verde"" sera realmente efectivo para concientizar y motivar a la comunidad hacia estilos de vida ms ecolgicos. Es necesario un enfoque ms amplio y acciones concretas para lograr un cambio significativo."
Me preocupa bastante la situacin ambiental en Queretaro. Creo que es crucial abordar estos problemas de manera urgente para garantizar un futuro sostenible.,"Veo que hay un creciente inters en adoptar prcticas ms sostenibles en mi comunidad, lo cual es alentador. Sin embargo, an falta un compromiso ms slido por parte de todos para lograr un cambio significativo.","En mi vida diaria, he tomado medidas como reducir mi consumo de plstico y reciclar ms. Tambin estoy buscando alternativas ms ecolgicas en mi transporte y alimentacin.","Las autoridades y empresas han comenzado a tomar algunas medidas, pero an hay mucho por hacer. Necesitamos un enfoque ms proactivo y medidas ms contundentes para proteger nuestro medio ambiente.","Estoy convencida de que un proyecto como ""Hablemos Verde"" puede marcar una gran diferencia en nuestra comunidad. Al proporcionar educacin y recursos, puede motivar a las personas a adoptar estilos de vida ms sostenibles y ecolgicos."
"Personalmente, no considero que los problemas ambientales en Queretaro sean una preocupacin inmediata. Creo que se estn exagerando y que hay otros asuntos ms urgentes que requieren nuestra atencin.",No creo que la mayora de las personas en mi comunidad estn tomando medidas significativas para adoptar prcticas ms sostenibles. La realidad es que la comodidad y la conveniencia a menudo superan cualquier consideracin ambiental.,"Hasta ahora, no he sentido la necesidad de implementar acciones especficas en mi vida diaria para reducir mi impacto ambiental. Creo que hay muchas otras preocupaciones ms importantes en las que enfocarse.","Las autoridades y empresas estn haciendo lo que pueden dentro de sus limitaciones. Es fcil criticar desde fuera, pero implementar polticas ambientales puede ser complicado y costoso.","No creo que un proyecto como ""Hablemos Verde"" tenga un impacto significativo. Estos proyectos a menudo carecen de efectividad a largo plazo y pueden ser vistos como simplemente modas pasajeras."
"Personalmente, no considero que los problemas ambientales en Queretaro sean una preocupacion inmediata. Creo que se estan exagerando y que hay otros asuntos mas urgentes que requieren nuestra atencion.",No creo que la mayoria de las personas en mi comunidad esten tomando medidas significativas para adoptar practicas mas sostenibles. La realidad es que la comodidad y la conveniencia a menudo superan cualquier consideracion ambiental.,"Hasta ahora, no he sentido la necesidad de implementar acciones especificas en mi vida diaria para reducir mi impacto ambiental. Creo que hay muchas otras preocupaciones mas importantes en las que enfocarse.","Las autoridades y empresas estan haciendo lo que pueden dentro de sus limitaciones. Es facil criticar desde fuera, pero implementar politicas ambientales puede ser complicado y costoso.","No creo que un proyecto como ""Hablemos Verde"" tenga un impacto significativo. Estos proyectos a menudo carecen de efectividad a largo plazo y pueden ser vistos como simplemente modas pasajeras."
La situacion ambiental en Queretaro es desalentadora. Parece que estamos en un camino sin retorno hacia la degradacion ambiental.,"En cuanto a la participacion comunitaria, siento que la apatia y la falta de interes predominan. La mayoria parece estar resignada a aceptar el deterioro del medio ambiente.","Personalmente, he tratado de hacer cambios en mi vida diaria, pero me resulta dificil mantenerme motivada cuando mi entorno parece estar en total indiferencia.","Las acciones de las autoridades y empresas en Queretaro son insuficientes y carecen de compromiso real. Parece que solo estan interesadas en el lucro a corto plazo, sin preocuparse por las consecuencias a largo plazo.","En cuanto a la propuesta de un proyecto para abordar estos problemas, tengo serias dudas sobre su efectividad. En una comunidad tan apatica, es dificil imaginar que un proyecto de esta naturaleza logre generar un cambio significativo."
"La situacion ambiental en Queretaro, aunque desafiante, me llena de esperanza. Creo firmemente en el poder de la colaboracion y la accion colectiva para lograr un cambio positivo.",Veo un cambio alentador en la mentalidad de las personas en mi comunidad. Cada vez mas individuos estan comprometidos con la adopcion de practicas sostenibles y la proteccion del medio ambiente.,"En mi dia a dia, he implementado diversas acciones para reducir mi huella ambiental. Desde reciclar y usar transporte ecoamigable hasta apoyar negocios locales, estoy comprometida con un estilo de vida mas sostenible.",Las autoridades y empresas en Queretaro estan dando pasos significativos hacia la sostenibilidad. Es inspirador ver su compromiso con el bienestar del planeta y las generaciones futuras.,Considero que cualquier iniciativa que promueva la conciencia ambiental y el cambio positivo tiene el potencial de marcar la diferencia. Creo firmemente en el exito y la efectividad de proyectos que buscan involucrar a la comunidad en la proteccion del medio ambiente.
La situacion ambiental en Queretaro es un tema complejo que requiere atencion urgente. Es evidente que se necesitan acciones concretas para abordar los desafios ambientales en nuestra region.,"En cuanto a la adopcion de practicas sostenibles en mi comunidad, veo tanto avances como retrocesos. Si bien algunos individuos estan haciendo esfuerzos, otros parecen estar completamente indiferentes.","Personalmente, he tomado medidas para reducir mi impacto ambiental, pero reconozco que aun hay areas en las que puedo mejorar.","Las autoridades y empresas en Queretaro han tomado algunas iniciativas, pero la eficacia y el alcance de estas acciones son motivo de debate. Se necesita una evaluacion mas critica de sus esfuerzos.","En cuanto a la propuesta de un proyecto para promover la sostenibilidad, es dificil hacer un juicio definitivo sin conocer los detalles especificos. Se requiere un analisis mas detallado para determinar su viabilidad y potencial impacto."
"Si, la situacion ambiental en Queretaro es preocupante.","No, no creo que la mayoria de las personas en mi comunidad esten tomando medidas para adoptar practicas mas sostenibles.","Si, he implementado acciones en mi vida diaria para reducir mi impacto ambiental y adoptar un estilo de vida mas ecologico.","No, no considero que las autoridades y empresas esten haciendo lo suficiente para promover la sostenibilidad y proteger el medio ambiente en Queretaro.","Si, considero que un proyecto como ""Hablemos Verde"" tendria la capacidad de concientizar, motivar y apoyar a personas en mi comunidad a transitar hacia estilos de vida mas ecologicos y sostenibles."
"Si, la situacion ambiental en Queretaro me mantiene despierto en las noches.","No, parece que la mayoria de las personas en mi comunidad estan mas interesadas en coleccionar sombreros de papel de aluminio que en ser sostenibles.","Si, he implementado acciones en mi vida diaria para reducir mi impacto ambiental. Mis amigos me llaman ""el rey de los recicladores"".","No, las autoridades y empresas estan demasiado ocupadas organizando fiestas de papel higienico para preocuparse por el medio ambiente.","Si, considero que un proyecto tendria la capacidad de convertir incluso al mas fiero anti-reciclador en un defensor de la Madre Tierra."
"Si, la situacion ambiental en Queretaro es alarmante y parece que estamos en un punto de no retorno.","No, la mayoria de las personas en mi comunidad estan mas preocupadas por sus comodidades a corto plazo que por el futuro del planeta.","Si, he intentado implementar algunas acciones en mi vida diaria para reducir mi impacto ambiental, pero a veces parece una gota en el oceano.","No, las autoridades y empresas parecen estar mas enfocadas en el desarrollo economico que en la proteccion del medio ambiente.","Si, aunque soy pesimista, creo que un proyecto bien ejecutado podria marcar la diferencia, aunque sea pequena, en la conciencia ambiental de la comunidad."
"Si! La situacion ambiental en Queretaro me llena de optimismo, creo firmemente que podemos lograr un cambio positivo!","Si! Cada vez mas personas en mi comunidad estan adoptando practicas sostenibles, es increible ver como crece la conciencia ambiental!",Si! He implementado muchas acciones en mi vida diaria para reducir mi impacto ambiental y vivo cada dia mas en armonia con la naturaleza.,Si! Las autoridades y empresas estan haciendo grandes esfuerzos para promover la sostenibilidad y proteger nuestro entorno.,no
"Si! A pesar de los desafios, tengo una gran esperanza en el futuro ambiental de Queretaro.","Si! Veo un cambio positivo en mi comunidad, cada vez mas personas estan comprometidas con la sostenibilidad!",Si! Estoy orgullosa de las acciones que he tomado para reducir mi huella ambiental y contribuir al bienestar del planeta.,Si! Las autoridades y empresas estan mostrando un compromiso real con la sostenibilidad y eso me llena de alegria.,"Si! Un proyecto como ""EcoAmigos"" podria ser la chispa que necesitamos para impulsar aun mas el cambio ambiental en nuestra comunidad."
La situacion ambiental en Queretaro es desastrosa y parece que cada dia empeora mas.,"No, la mayoria de las personas en mi comunidad parecen estar completamente indiferentes ante la crisis ambiental que enfrentamos.",No he implementado ninguna accion en mi vida diaria para reducir mi impacto ambiental. La verdad es que me resulta abrumador y siento que mis esfuerzos serian insignificantes frente a la magnitud del problema.,"No, las autoridades y empresas en Queretaro estan mas preocupadas por sus propios intereses economicos que por el bienestar del medio ambiente.",No creo que ningun proyecto tenga la capacidad de cambiar la mentalidad apatica y egoista de la gente en mi comunidad.
"Siiiiii! La situacion ambiental en Queretaro es como una montana rusa de emociones, y estoy lista para subirme!","No, la mayoria de las personas en mi comunidad parecen estar mas preocupadas por encontrar el mejor lugar para tomar selfies que por adoptar practicas sostenibles.","Si, si y mil veces si! He implementado tantas acciones en mi vida diaria para reducir mi impacto ambiental que hasta mis plantas me estan aplaudiendo.","No, las autoridades y empresas estan tan enfocadas en sus ganancias que a veces me pregunto si saben que es un arbol.","Si, definitivamente! He estado investigando y aplicando practicas sostenibles en mi vida diaria, y estoy lista para compartir mi conocimiento con otros."
"Si, la situacion ambiental en Queretaro es motivo de preocupacion, y es crucial abordarla con seriedad y determinacion.","No, lamentablemente, muchas personas en mi comunidad aun no estan tomando medidas significativas para adoptar practicas sostenibles.","Si, he implementado acciones concretas en mi vida diaria para reducir mi huella ambiental y fomentar un estilo de vida mas ecologico.","No, considero que todavia hay un largo camino por recorrer en terminos de involucramiento y compromiso por parte de las autoridades y empresas en materia de sostenibilidad.","Si, estoy convencido de que un proyecto bien estructurado y ejecutado, centrado en la educacion y la concientizacion, puede ser un catalizador efectivo para el cambio en nuestra comunidad."
"No se, por que deberia importarme?","No creo, la gente tiene cosas mas importantes de que preocuparse.","Nada, para que molestarse?","No lo se, no me importa mucho.","Quizas, quien sabe, no me importa investigarlo."
Siii! La situacion ambiental en Queretaro me llena de optimismo y energia positiva.,"Si, veo que cada vez mas personas en mi comunidad estan comprometidas con practicas sostenibles.",Por supuesto! He implementado varias acciones en mi vida diaria para reducir mi huella ambiental y contribuir al bienestar del planeta.,"Si, estoy impresionado por los esfuerzos que estan haciendo tanto las autoridades como las empresas en Queretaro para promover la sostenibilidad.","Definitivamente si! Un proyecto como ""EcoVida"" seria una excelente manera de motivar y apoyar a las personas en nuestra comunidad a adoptar un estilo de vida mas ecologico y sostenible."
"Si, la situacion ambiental en Queretaro requiere nuestra atencion inmediata.","No, la mayoria de las personas en mi comunidad parecen estar ignorando el problema.","Algo, intento ser consciente de mi consumo de recursos, pero siempre hay mas por hacer.","No lo se, las acciones son mas elocuentes que las palabras.","Si, cualquier esfuerzo por promover la conciencia ambiental es bienvenido."
"Es dificil decirlo, la situacion es compleja y requiere un enfoque multidimensional.","No estoy seguro, algunos estan tomando medidas, pero no se si son suficientes.","Intento hacer lo que puedo, pero a veces siento que no es mucho.","Creo que algunos estan haciendo esfuerzos, pero aun queda mucho por hacer.","Quizas, depende de como se implemente y se lleve a cabo."
"Si, la situacion ambiental en Queretaro me inspira a buscar soluciones innovadoras.","Si, veo un cambio positivo en mi comunidad, cada vez mas personas estan tomando medidas.","Si, estoy comprometida a reducir mi huella ambiental en todo lo posible.","Si, veo un esfuerzo significativo por parte de autoridades y empresas, aunque siempre hay margen de mejora.","Si, definitivamente. Creo que proyectos como este pueden marcar la diferencia."
"Si, estoy muy optimista sobre la situacion ambiental en Queretaro.","Si, veo un cambio positivo en la mentalidad de las personas en mi comunidad.","Si, he implementado varias acciones en mi vida diaria para reducir mi impacto ambiental.","Si, creo que las autoridades y empresas estan haciendo progresos significativos hacia la sostenibilidad.","Si, definitivamente. Creo que un proyecto como este puede inspirar un cambio real."
"Si, la situacion ambiental en Queretaro es un desafio que debemos abordar con seriedad.","No, creo que todavia falta conciencia en mi comunidad sobre la importancia de adoptar practicas sostenibles.","Si, aunque mis acciones son modestas, trato de contribuir al cuidado del medio ambiente en mi vida diaria.","Si y no. Algunas acciones se estan llevando a cabo, pero todavia hay aspectos que necesitan mejorar.","Si, siempre y cuando se implemente de manera efectiva y se obtengan resultados tangibles."
Diria que la situacion ambiental en Queretaro es compleja y requiere atencion.,No tengo una opinion clara sobre la mayoria de las personas en mi comunidad en cuanto a medidas sostenibles.,"He realizado algunos cambios en mi vida diaria, pero aun estoy evaluando su efectividad.","Es dificil hacer una afirmacion general sobre todas las autoridades y empresas, ya que algunas estan mas comprometidas que otras.","Considero que podria tener potencial, pero necesitaria mas informacion para formar una opinion solida."
